sep=|
DIPUTACIONES
06/09/2022 22:30 (UTC-5)
CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230179C1800"|230179C180002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|18|C|0|2|2|24|7|6|98|10|13|89|18|0|4|-|0|2|0|0|0|1|1|1|0|1|4|1|2|0|1|1|7|291|739|COTEJADO EN PLENO
="230179C1900"|230179C190002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|19|C|0|2|2|21|9|4|110|7|10|97|19|2|3|-|1|0|0|0|0|0|0|0|0|0|2|0|1|0|0|0|12|298|739|RECONTADO EN PLENO
="230179C2000"|230179C200002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|20|C|0|2|2|27|5|2|111|8|19|84|15|0|3|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|295|739|COTEJADO EN PLENO
="230252B0100"|230252B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0252"|1|B|0|1|2|23|5|1|34|6|17|44|37|2|41|-|0|0|0|0|2|0|0|0|0|0|1|0|0|0|4|0|17|234|532|COTEJADO EN PLENO
="230252C0100"|230252C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0252"|1|C|0|1|2|18|7|3|37|8|14|36|15|2|63|-|0|0|0|0|1|0|0|0|0|0|2|1|1|0|0|0|9|217|531|COTEJADO EN PLENO
="230253B0100"|230253B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0253"|1|B|0|1|2|19|2|1|18|4|12|37|29|2|45|-|1|1|0|0|0|0|0|0|0|0|1|1|1|0|0|0|11|185|474|COTEJADO EN PLENO
="230253C0100"|230253C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0253"|1|C|0|1|2|21|4|1|15|5|7|32|25|2|61|-|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|5|181|474|COTEJADO EN PLENO
="230254B0100"|230254B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0254"|1|B|0|1|2|27|9|1|65|9|15|80|28|3|83|-|0|0|0|0|1|0|0|0|0|0|1|1|2|0|1|0|9|335|726|COTEJADO EN PLENO
="230255B0100"|230255B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0255"|1|B|0|1|2|20|5|4|85|8|11|51|27|6|50|-|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|15|285|576|COTEJADO EN PLENO
="230255C0100"|230255C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0255"|1|C|0|1|2|20|4|0|74|7|14|43|21|3|51|-|0|0|0|0|2|2|0|0|0|6|1|0|0|0|0|0|13|261|576|COTEJADO EN PLENO
